Match Number,Round Number,Date,Location,Home Team,Away Team,Result
2,1,22/02/2025 21:45,BMO Stadium,LAFC,Minnesota United,1 - 0
1,1,23/02/2025 00:30,Chase Stadium,Miami,New York City,2 - 2
3,1,23/02/2025 00:30,Mercedes-Benz Stadium,Atlanta Utd,CF Montreal,3 - 2
4,1,23/02/2025 00:30,TQL Stadium,FC Cincinnati,New York Red Bulls,1 - 0
5,1,23/02/2025 00:30,Lower.com Field,Columbus Crew,Chicago Fire,4 - 2
6,1,23/02/2025 00:30,Audi Field,D.C.,Toronto FC,2 - 2
7,1,23/02/2025 00:30,Inter&Co Stadium,Orlando City,Philadelphia Union,2 - 4
8,1,23/02/2025 01:30,Q2 Stadium,Austin FC,Sporting Kansas City,1 - 0
9,1,23/02/2025 01:30,Shell Energy Stadium,Houston Dynamo,FC Dallas,1 - 2
10,1,23/02/2025 01:30,GEODIS Park,Nashville SC,New England Revolution,0 - 0
11,1,23/02/2025 01:30,Energizer Park,St. Louis City,Colorado Rapids,0 - 0
12,1,23/02/2025 03:30,PayPal Park,San Jose,Salt Lake,4 - 0
13,1,23/02/2025 03:30,Lumen Field,Servette,Charlotte,2 - 2
14,1,23/02/2025 21:00,Providence Park,Portland Timbers,Vancouver,1 - 4
15,1,24/02/2025 00:00,Dignity Health Sports Park,LA,San Diego FC,0 - 2
16,2,01/03/2025 19:15,Bank of America Stadium,Charlotte,Atlanta Utd,2 - 0
17,2,01/03/2025 21:30,America First Field,Salt Lake,Servette,2 - 0
18,2,02/03/2025 00:30,Gillette Stadium,New England Revolution,Columbus Crew,0 - 1
19,2,02/03/2025 00:30,Sports Illustrated Stadium,New York Red Bulls,Nashville SC,2 - 0
20,2,02/03/2025 00:30,Inter&Co Stadium,Orlando City,Toronto FC,4 - 2
21,2,02/03/2025 00:30,Subaru Park,Philadelphia Union,FC Cincinnati,4 - 1
22,2,02/03/2025 01:30,Soldier Field,Chicago Fire,D.C.,2 - 2
23,2,02/03/2025 01:30,Children's Mercy Park,Sporting Kansas City,San Jose,1 - 2
24,2,02/03/2025 01:30,Allianz Field,Minnesota United,CF Montreal,1 - 0
25,2,02/03/2025 02:30,Dick's Sporting Goods Park,Colorado Rapids,FC Dallas,3 - 3
26,2,02/03/2025 03:30,BMO Stadium,LAFC,New York City,1 - 0
27,2,02/03/2025 03:30,Providence Park,Portland Timbers,Austin FC,1 - 0
28,2,02/03/2025 03:30,Snapdragon Stadium,San Diego FC,St. Louis City,0 - 0
29,2,02/03/2025 22:00,BC Place,Vancouver,LA,2 - 1
30,2,03/03/2025 00:00,Shell Energy Stadium,Houston Dynamo,Miami,1 - 4
31,3,08/03/2025 19:30,Lower.com Field,Columbus Crew,Houston Dynamo,0 - 0
32,3,08/03/2025 21:45,Lumen Field,Servette,LAFC,5 - 2
33,3,09/03/2025 00:30,Mercedes-Benz Stadium,Atlanta Utd,New York Red Bulls,0 - 0
34,3,09/03/2025 00:30,TQL Stadium,FC Cincinnati,Toronto FC,2 - 0
35,3,09/03/2025 00:30,Audi Field,D.C.,Sporting Kansas City,2 - 1
36,3,09/03/2025 00:30,Gillette Stadium,New England Revolution,Philadelphia Union,0 - 2
37,3,09/03/2025 00:30,Yankee Stadium,New York City,Orlando City,2 - 1
38,3,09/03/2025 01:30,Q2 Stadium,Austin FC,Colorado Rapids,0 - 1
39,3,09/03/2025 01:30,Toyota Stadium,FC Dallas,Chicago Fire,1 - 3
40,3,09/03/2025 01:30,GEODIS Park,Nashville SC,Portland Timbers,2 - 0
41,3,09/03/2025 02:30,America First Field,Salt Lake,San Diego FC,1 - 3
42,3,09/03/2025 02:30,BC Place,Vancouver,CF Montreal,2 - 0
43,3,09/03/2025 03:30,PayPal Park,San Jose,Minnesota United,0 - 1
44,3,09/03/2025 20:00,Chase Stadium,Miami,Charlotte,1 - 0
45,3,09/03/2025 23:00,Dignity Health Sports Park,LA,St. Louis City,0 - 3
46,4,15/03/2025 18:30,Sports Illustrated Stadium,New York Red Bulls,Orlando City,2 - 2
47,4,15/03/2025 18:30,BMO Field,Toronto FC,Chicago Fire,1 - 2
48,4,15/03/2025 19:45,BMO Stadium,LAFC,Austin FC,0 - 1
49,4,15/03/2025 23:30,Bank of America Stadium,Charlotte,FC Cincinnati,2 - 0
50,4,15/03/2025 23:30,Audi Field,D.C.,CF Montreal,0 - 0
51,4,15/03/2025 23:30,Yankee Stadium,New York City,New England Revolution,2 - 1
52,4,16/03/2025 00:15,Children's Mercy Park,Sporting Kansas City,Minnesota United,3 - 3
53,4,16/03/2025 00:30,Toyota Stadium,FC Dallas,Vancouver,0 - 1
54,4,16/03/2025 00:30,Shell Energy Stadium,Houston Dynamo,Salt Lake,1 - 2
55,4,16/03/2025 00:30,Energizer Park,St. Louis City,Servette,1 - 0
56,4,16/03/2025 02:30,Snapdragon Stadium,San Diego FC,Columbus Crew,1 - 1
57,4,16/03/2025 02:30,PayPal Park,San Jose,Colorado Rapids,1 - 2
58,4,16/03/2025 18:25,Subaru Park,Philadelphia Union,Nashville SC,1 - 3
59,4,16/03/2025 20:45,Providence Park,Portland Timbers,LA,1 - 1
60,4,16/03/2025 23:00,Mercedes-Benz Stadium,Atlanta Utd,Miami,1 - 2
61,5,22/03/2025 18:30,TQL Stadium,FC Cincinnati,Atlanta Utd,2 - 2
62,5,22/03/2025 20:30,Allianz Field,Minnesota United,LA,2 - 2
63,5,22/03/2025 23:30,Bank of America Stadium,Charlotte,San Jose,4 - 1
64,5,22/03/2025 23:30,Lower.com Field,Columbus Crew,New York City,0 - 0
65,5,22/03/2025 23:30,Sports Illustrated Stadium,New York Red Bulls,Toronto FC,2 - 1
66,5,22/03/2025 23:30,Inter&Co Stadium,Orlando City,D.C.,4 - 1
67,5,22/03/2025 23:30,Subaru Park,Philadelphia Union,St. Louis City,1 - 0
68,5,23/03/2025 00:30,Children's Mercy Park,Sporting Kansas City,LAFC,0 - 2
69,5,23/03/2025 00:30,GEODIS Park,Nashville SC,CF Montreal,3 - 0
70,5,23/03/2025 01:30,Dick's Sporting Goods Park,Colorado Rapids,Portland Timbers,0 - 3
71,5,23/03/2025 01:30,America First Field,Salt Lake,FC Dallas,0 - 1
72,5,23/03/2025 02:30,Lumen Field,Servette,Houston Dynamo,0 - 0
73,5,23/03/2025 02:30,BC Place,Vancouver,Chicago Fire,1 - 3
74,5,23/03/2025 20:00,Q2 Stadium,Austin FC,San Diego FC,2 - 1
312,5,09/07/2025 23:30,Gillette Stadium,New England Revolution,Miami,1 - 2
75,6,29/03/2025 18:30,Gillette Stadium,New England Revolution,New York Red Bulls,2 - 1
76,6,29/03/2025 18:30,BMO Field,Toronto FC,Vancouver,0 - 0
77,6,29/03/2025 20:30,Dick's Sporting Goods Park,Colorado Rapids,Charlotte,2 - 0
78,6,29/03/2025 23:30,Mercedes-Benz Stadium,Atlanta Utd,New York City,4 - 3
79,6,29/03/2025 23:30,Audi Field,D.C.,Columbus Crew,1 - 2
80,6,29/03/2025 23:30,Chase Stadium,Miami,Philadelphia Union,2 - 1
81,6,30/03/2025 00:30,Soldier Field,Chicago Fire,CF Montreal,1 - 1
82,6,30/03/2025 00:30,Toyota Stadium,FC Dallas,Sporting Kansas City,2 - 1
83,6,30/03/2025 00:30,Allianz Field,Minnesota United,Salt Lake,2 - 0
84,6,30/03/2025 00:30,GEODIS Park,Nashville SC,FC Cincinnati,1 - 2
85,6,30/03/2025 02:30,Dignity Health Sports Park,LA,Orlando City,1 - 2
86,6,30/03/2025 02:30,Snapdragon Stadium,San Diego FC,LAFC,3 - 2
87,6,30/03/2025 02:30,PayPal Park,San Jose,Servette,1 - 1
88,6,30/03/2025 18:15,Energizer Park,St. Louis City,Austin FC,0 - 1
89,6,30/03/2025 23:00,Providence Park,Portland Timbers,Houston Dynamo,3 - 1
90,7,05/04/2025 18:30,Bank of America Stadium,Charlotte,Nashville SC,2 - 1
91,7,05/04/2025 20:30,America First Field,Salt Lake,LA,2 - 0
92,7,05/04/2025 23:30,Mercedes-Benz Stadium,Atlanta Utd,FC Dallas,1 - 1
94,7,05/04/2025 23:30,TQL Stadium,FC Cincinnati,New England Revolution,1 - 0
95,7,05/04/2025 23:30,Lower.com Field,Columbus Crew,CF Montreal,2 - 1
96,7,05/04/2025 23:30,Sports Illustrated Stadium,New York Red Bulls,Chicago Fire,2 - 1
97,7,05/04/2025 23:30,Subaru Park,Philadelphia Union,Orlando City,0 - 0
93,7,05/04/2025 23:45,Q2 Stadium,Austin FC,Portland Timbers,0 - 0
99,7,06/04/2025 00:30,Children's Mercy Park,Sporting Kansas City,St. Louis City,2 - 0
98,7,06/04/2025 01:08,Shell Energy Stadium,Houston Dynamo,LAFC,1 - 0
100,7,06/04/2025 01:30,BC Place,Vancouver,Colorado Rapids,2 - 0
101,7,06/04/2025 02:30,Snapdragon Stadium,San Diego FC,Servette,3 - 0
102,7,06/04/2025 19:00,Yankee Stadium,New York City,Minnesota United,1 - 2
103,7,06/04/2025 21:00,PayPal Park,San Jose,D.C.,6 - 1
104,7,06/04/2025 23:00,Chase Stadium,Miami,Toronto FC,1 - 1
106,8,12/04/2025 18:30,BMO Field,Toronto FC,Minnesota United,0 - 0
105,8,12/04/2025 18:45,Mercedes-Benz Stadium,Atlanta Utd,New England Revolution,0 - 1
107,8,12/04/2025 20:30,Inter&Co Stadium,Orlando City,New York Red Bulls,0 - 0
108,8,12/04/2025 23:30,Audi Field,D.C.,FC Cincinnati,0 - 1
109,8,12/04/2025 23:30,Stade Saputo,CF Montreal,Charlotte,0 - 1
110,8,12/04/2025 23:30,Citi Field,New York City,Philadelphia Union,1 - 0
111,8,12/04/2025 23:30,BC Place,Vancouver,Austin FC,5 - 1
112,8,13/04/2025 00:30,Toyota Stadium,FC Dallas,Servette,0 - 1
113,8,13/04/2025 00:30,GEODIS Park,Nashville SC,Salt Lake,2 - 1
114,8,13/04/2025 01:30,Dick's Sporting Goods Park,Colorado Rapids,San Diego FC,3 - 2
115,8,13/04/2025 02:30,Dignity Health Sports Park,LA,Houston Dynamo,1 - 1
116,8,13/04/2025 02:30,BMO Stadium,LAFC,San Jose,2 - 1
117,8,13/04/2025 18:15,Children's Mercy Park,Sporting Kansas City,Portland Timbers,2 - 4
118,8,13/04/2025 20:30,Soldier Field,Chicago Fire,Miami,0 - 0
119,8,13/04/2025 23:00,Energizer Park,St. Louis City,Columbus Crew,1 - 2
120,9,19/04/2025 17:45,Q2 Stadium,Austin FC,LA,1 - 0
121,9,19/04/2025 20:30,Huntington Bank Field,Columbus Crew,Miami,0 - 1
122,9,19/04/2025 23:30,Bank of America Stadium,Charlotte,San Diego FC,3 - 0
123,9,19/04/2025 23:30,Stade Saputo,CF Montreal,Orlando City,0 - 0
124,9,19/04/2025 23:30,Gillette Stadium,New England Revolution,New York City,2 - 0
125,9,19/04/2025 23:30,Sports Illustrated Stadium,New York Red Bulls,D.C.,1 - 2
126,9,19/04/2025 23:30,Subaru Park,Philadelphia Union,Atlanta Utd,3 - 0
127,9,19/04/2025 23:30,Lumen Field,Servette,Nashville SC,3 - 0
128,9,20/04/2025 00:30,Soldier Field,Chicago Fire,FC Cincinnati,2 - 3
129,9,20/04/2025 00:30,Shell Energy Stadium,Houston Dynamo,Colorado Rapids,2 - 2
130,9,20/04/2025 00:30,Allianz Field,Minnesota United,FC Dallas,0 - 0
131,9,20/04/2025 00:30,Energizer Park,St. Louis City,Vancouver,0 - 0
132,9,20/04/2025 01:30,America First Field,Salt Lake,Toronto FC,0 - 1
133,9,20/04/2025 02:15,Providence Park,Portland Timbers,LAFC,3 - 3
134,9,20/04/2025 02:30,PayPal Park,San Jose,Sporting Kansas City,3 - 5
135,10,26/04/2025 18:30,TQL Stadium,FC Cincinnati,Sporting Kansas City,2 - 1
136,10,26/04/2025 18:30,BMO Field,Toronto FC,New York City,0 - 1
137,10,26/04/2025 20:30,Sports Illustrated Stadium,New York Red Bulls,CF Montreal,1 - 0
138,10,26/04/2025 20:30,Subaru Park,Philadelphia Union,D.C.,3 - 0
139,10,26/04/2025 23:15,Inter&Co Stadium,Orlando City,Atlanta Utd,3 - 0
140,10,26/04/2025 23:30,Bank of America Stadium,Charlotte,New England Revolution,0 - 1
141,10,26/04/2025 23:30,Lower.com Field,Columbus Crew,San Jose,2 - 1
143,10,26/04/2025 23:30,Snapdragon Stadium,San Diego FC,Salt Lake,1 - 3
144,10,27/04/2025 00:30,Shell Energy Stadium,Houston Dynamo,Austin FC,2 - 0
146,10,27/04/2025 00:30,GEODIS Park,Nashville SC,Chicago Fire,7 - 2
147,10,27/04/2025 01:30,Dick's Sporting Goods Park,Colorado Rapids,Servette,1 - 1
145,10,27/04/2025 19:00,Allianz Field,Minnesota United,Vancouver,1 - 3
142,10,27/04/2025 21:00,Chase Stadium,Miami,FC Dallas,3 - 4
149,10,27/04/2025 23:00,BMO Stadium,LAFC,St. Louis City,2 - 2
148,10,28/04/2025 01:00,Dignity Health Sports Park,LA,Portland Timbers,2 - 4
150,11,03/05/2025 18:45,Mercedes-Benz Stadium,Atlanta Utd,Nashville SC,1 - 1
151,11,03/05/2025 20:30,BMO Field,Toronto FC,New England Revolution,0 - 2
152,11,03/05/2025 23:30,Lower.com Field,Columbus Crew,Charlotte,4 - 2
153,11,03/05/2025 23:30,Audi Field,D.C.,Colorado Rapids,2 - 1
154,11,03/05/2025 23:30,Chase Stadium,Miami,New York Red Bulls,4 - 1
155,11,03/05/2025 23:30,Stade Saputo,CF Montreal,Philadelphia Union,1 - 2
156,11,04/05/2025 00:30,Q2 Stadium,Austin FC,Minnesota United,0 - 3
157,11,04/05/2025 00:30,Soldier Field,Chicago Fire,Orlando City,0 - 0
158,11,04/05/2025 01:15,Snapdragon Stadium,San Diego FC,FC Dallas,5 - 0
159,11,04/05/2025 01:30,BC Place,Vancouver,Salt Lake,2 - 1
160,11,04/05/2025 02:30,BMO Stadium,LAFC,Houston Dynamo,2 - 0
161,11,04/05/2025 02:30,PayPal Park,San Jose,Portland Timbers,4 - 1
162,11,04/05/2025 02:30,Lumen Field,Servette,St. Louis City,4 - 1
163,11,04/05/2025 19:00,Citi Field,New York City,FC Cincinnati,1 - 0
164,11,04/05/2025 23:00,Children's Mercy Park,Sporting Kansas City,LA,1 - 0
165,12,10/05/2025 18:30,Soldier Field,Chicago Fire,Atlanta Utd,2 - 1
166,12,10/05/2025 20:30,Allianz Field,Minnesota United,Miami,4 - 1
167,12,10/05/2025 20:30,BMO Field,Toronto FC,D.C.,2 - 0
168,12,10/05/2025 23:30,TQL Stadium,FC Cincinnati,Austin FC,2 - 1
169,12,10/05/2025 23:30,Sports Illustrated Stadium,New York Red Bulls,LA,7 - 0
170,12,10/05/2025 23:30,Yankee Stadium,New York City,CF Montreal,0 - 1
171,12,10/05/2025 23:30,Inter&Co Stadium,Orlando City,New England Revolution,3 - 3
172,12,10/05/2025 23:30,Subaru Park,Philadelphia Union,Columbus Crew,2 - 2
173,12,11/05/2025 00:30,Toyota Stadium,FC Dallas,Salt Lake,1 - 1
174,12,11/05/2025 00:30,Shell Energy Stadium,Houston Dynamo,Servette,1 - 3
175,12,11/05/2025 00:30,GEODIS Park,Nashville SC,Charlotte,2 - 1
176,12,11/05/2025 00:30,Energizer Park,St. Louis City,San Diego FC,1 - 2
177,12,11/05/2025 01:30,Dick's Sporting Goods Park,Colorado Rapids,San Jose,0 - 2
178,12,11/05/2025 02:30,Providence Park,Portland Timbers,Sporting Kansas City,1 - 0
179,12,11/05/2025 23:00,BC Place,Vancouver,LAFC,2 - 2
