Match Number,Round Number,Date,Location,Home Team,Away Team,Result
1,1,08/08/2025 19:15,Estádio Municipal de Rio Maior,Casa Pia,Sporting CP,0 - 2
7,1,09/08/2025 14:30,Estádio da Madeira,Nacional,Gil Vicente,0 - 2
4,1,09/08/2025 19:30,Estádio Municipal de Arouca,Arouca,AFS,3 - 1
8,1,10/08/2025 16:00,Estádio Municipal de Famalicão,Famalicao,Santa Clara,3 - 0
2,1,10/08/2025 19:30,Estádio Municipal de Braga,Sp Braga,Tondela,3 - 0
6,1,10/08/2025 19:30,Parque Joaquim de Almeida Freitas,Moreirense,Alverca,2 - 1
5,1,11/08/2025 17:45,Estadio António Coimbra da Mota,Estoril,Estrela,1 - 1
9,1,11/08/2025 19:45,Estádio do Dragão,Porto,Vitoria,3 - 0
3,1,23/09/2025 19:15,Estádio da Luz,Benfica,Rio Ave,1 - 1
10,2,15/08/2025 14:45,Estádio do CD Aves,AFS,Casa Pia,0 - 2
17,2,16/08/2025 14:30,Estádio João Cardoso,Tondela,Famalicao,0 - 1
15,2,16/08/2025 17:00,Estádio D. Afonso Henriques,Vitoria,Estoril,3 - 2
18,2,16/08/2025 19:30,Estádio José Gomes,Estrela,Benfica,0 - 1
14,2,17/08/2025 14:30,Estádio do Rio Ave FC,Rio Ave,Nacional,1 - 1
11,2,17/08/2025 17:00,Complexo Desportivo FC Alverca,Alverca,Sp Braga,0 - 3
13,2,17/08/2025 17:00,Estádio de São Miguel,Santa Clara,Moreirense,0 - 1
16,2,17/08/2025 19:30,Estádio José Alvalade,Sporting CP,Arouca,6 - 0
12,2,18/08/2025 19:15,Estádio Cidade de Barcelos,Gil Vicente,Porto,0 - 2
27,3,23/08/2025 15:00,Parque Joaquim de Almeida Freitas,Moreirense,Vitoria,2 - 0
19,3,23/08/2025 17:00,Estádio da Madeira,Nacional,Sporting CP,1 - 4
20,3,23/08/2025 19:30,Estádio Municipal de Arouca,Arouca,Rio Ave,3 - 3
22,3,23/08/2025 19:30,Estádio da Luz,Benfica,Tondela,3 - 0
21,3,24/08/2025 14:30,Estádio Municipal de Famalicão,Famalicao,Gil Vicente,0 - 0
24,3,24/08/2025 17:00,Estádio do Dragão,Porto,Casa Pia,4 - 0
23,3,24/08/2025 19:30,Estádio Municipal de Braga,Sp Braga,AFS,2 - 2
25,3,25/08/2025 19:15,Estádio José Gomes,Estrela,Alverca,2 - 2
26,3,06/09/2025 19:30,Estadio António Coimbra da Mota,Estoril,Santa Clara,0 - 1
31,4,29/08/2025 19:15,Estádio Cidade de Barcelos,Gil Vicente,Moreirense,2 - 0
29,4,30/08/2025 14:30,Estádio Municipal de Rio Maior,Casa Pia,Nacional,0 - 2
28,4,30/08/2025 17:00,Estádio do CD Aves,AFS,Famalicao,0 - 1
34,4,30/08/2025 17:00,Estádio D. Afonso Henriques,Vitoria,Arouca,1 - 1
35,4,30/08/2025 19:30,Estádio José Alvalade,Sporting CP,Porto,1 - 2
33,4,31/08/2025 14:30,Estádio João Cardoso,Tondela,Estoril,2 - 2
30,4,31/08/2025 17:00,Complexo Desportivo FC Alverca,Alverca,Benfica,1 - 2
32,4,31/08/2025 19:30,Estádio de São Miguel,Santa Clara,Estrela,0 - 0
36,4,31/08/2025 19:30,Estádio do Rio Ave FC,Rio Ave,Sp Braga,2 - 2
38,5,12/09/2025 19:15,Complexo Desportivo FC Alverca,Alverca,Tondela,1 - 0
43,5,12/09/2025 19:15,Estádio da Luz,Benfica,Santa Clara,1 - 1
41,5,13/09/2025 14:30,Parque Joaquim de Almeida Freitas,Moreirense,Rio Ave,3 - 1
44,5,13/09/2025 14:30,Estadio António Coimbra da Mota,Estoril,AFS,3 - 1
45,5,13/09/2025 17:00,Estádio do Dragão,Porto,Nacional,1 - 0
40,5,13/09/2025 19:30,Estádio Municipal de Famalicão,Famalicao,Sporting CP,1 - 2
37,5,14/09/2025 14:30,Estádio José Gomes,Estrela,Vitoria,0 - 2
39,5,14/09/2025 17:00,Estádio Municipal de Arouca,Arouca,Casa Pia,0 - 2
42,5,14/09/2025 19:30,Estádio Municipal de Braga,Sp Braga,Gil Vicente,0 - 1
52,6,19/09/2025 19:15,Estádio do Rio Ave FC,Rio Ave,Porto,0 - 3
50,6,20/09/2025 14:30,Estádio de São Miguel,Santa Clara,Alverca,2 - 1
51,6,20/09/2025 14:30,Estádio da Madeira,Nacional,Arouca,1 - 2
46,6,20/09/2025 17:00,Estádio do CD Aves,AFS,Benfica,0 - 3
54,6,20/09/2025 19:30,Estádio D. Afonso Henriques,Vitoria,Sp Braga,1 - 1
49,6,21/09/2025 14:30,Estádio João Cardoso,Tondela,Estrela,0 - 0
48,6,21/09/2025 17:00,Estádio Cidade de Barcelos,Gil Vicente,Estoril,2 - 0
47,6,21/09/2025 19:30,Estádio Municipal de Rio Maior,Casa Pia,Famalicao,1 - 1
53,6,22/09/2025 19:15,Estádio José Alvalade,Sporting CP,Moreirense,3 - 0
61,7,26/09/2025 19:15,Estádio da Luz,Benfica,Gil Vicente,2 - 1
63,7,27/09/2025 14:30,Parque Joaquim de Almeida Freitas,Moreirense,Casa Pia,2 - 1
59,7,27/09/2025 15:30,Estádio de São Miguel,Santa Clara,Tondela,1 - 2
62,7,27/09/2025 17:00,Estádio José Gomes,Estrela,AFS,3 - 0
55,7,27/09/2025 19:30,Estadio António Coimbra da Mota,Estoril,Sporting CP,0 - 1
56,7,28/09/2025 14:30,Complexo Desportivo FC Alverca,Alverca,Vitoria,2 - 0
60,7,28/09/2025 17:00,Estádio Municipal de Braga,Sp Braga,Nacional,0 - 1
58,7,28/09/2025 19:30,Estádio Municipal de Famalicão,Famalicao,Rio Ave,0 - 0
57,7,29/09/2025 19:00,Estádio Municipal de Arouca,Arouca,Porto,0 - 4
65,8,03/10/2025 19:15,Estádio Municipal de Rio Maior,Casa Pia,Estoril,2 - 2
68,8,04/10/2025 14:30,Estádio Cidade de Barcelos,Gil Vicente,Estrela,2 - 0
69,8,04/10/2025 14:30,Estádio da Madeira,Nacional,Moreirense,3 - 2
64,8,04/10/2025 17:00,Estádio do CD Aves,AFS,Alverca,1 - 3
70,8,04/10/2025 19:30,Estádio D. Afonso Henriques,Vitoria,Santa Clara,2 - 1
66,8,05/10/2025 14:30,Estádio Municipal de Arouca,Arouca,Famalicao,1 - 1
67,8,05/10/2025 16:30,Estádio do Rio Ave FC,Rio Ave,Tondela,3 - 0
71,8,05/10/2025 18:15,Estádio José Alvalade,Sporting CP,Sp Braga,1 - 1
72,8,05/10/2025 20:15,Estádio do Dragão,Porto,Benfica,0 - 0
75,9,24/10/2025 19:15,Complexo Desportivo FC Alverca,Alverca,Gil Vicente,
79,9,25/10/2025 17:00,Estádio de São Miguel,Santa Clara,AFS,
74,9,25/10/2025 19:30,Estádio José Gomes,Estrela,Rio Ave,
80,9,25/10/2025 19:30,Estádio da Luz,Benfica,Arouca,
73,9,26/10/2025 15:30,Estadio António Coimbra da Mota,Estoril,Nacional,
76,9,26/10/2025 15:30,Estádio Municipal de Famalicão,Famalicao,Vitoria,
81,9,26/10/2025 18:00,Estádio João Cardoso,Tondela,Sporting CP,
78,9,26/10/2025 20:30,Estádio Municipal de Braga,Sp Braga,Casa Pia,
77,9,27/10/2025 20:15,Parque Joaquim de Almeida Freitas,Moreirense,Porto,
86,10,31/10/2025 20:15,Estádio José Alvalade,Sporting CP,Alverca,
87,10,01/11/2025 15:30,Estádio da Madeira,Nacional,Famalicao,
83,10,01/11/2025 18:00,Estádio Municipal de Rio Maior,Casa Pia,Estrela,
85,10,01/11/2025 18:00,Estádio do Rio Ave FC,Rio Ave,Estoril,
90,10,01/11/2025 20:30,Estádio D. Afonso Henriques,Vitoria,Benfica,
82,10,02/11/2025 15:30,Estádio do CD Aves,AFS,Tondela,
84,10,02/11/2025 18:00,Estádio Municipal de Arouca,Arouca,Moreirense,
89,10,02/11/2025 20:30,Estádio do Dragão,Porto,Sp Braga,
88,10,03/11/2025 20:15,Estádio Cidade de Barcelos,Gil Vicente,Santa Clara,
98,11,07/11/2025 20:15,Estadio António Coimbra da Mota,Estoril,Arouca,
93,11,08/11/2025 15:30,Complexo Desportivo FC Alverca,Alverca,Rio Ave,
99,11,08/11/2025 18:00,Estádio João Cardoso,Tondela,Vitoria,
95,11,08/11/2025 20:30,Estádio de São Miguel,Santa Clara,Sporting CP,
91,11,09/11/2025 15:30,Estádio do CD Aves,AFS,Gil Vicente,
